Sorgu,Restoran Adı,Adres,Enlem,Boylam,Mesafe (km),Web Sitesi
fast food,Kumrulabu,"Bağlarbaşı, Şafak Cd. 27-A, 16160 Osmangazi̇/Bursa, Türkiye",40.236228499999996,28.994767599999996,0.263,Web Sitesi Yok
köfte,Komagene Etsiz Çiğ Köfte,"Hamitler, Nene Hatun Cd. No:63 D:A, 16160 Osmangazi̇/Bursa, Türkiye",40.23936,28.996492,0.316,https://www.komagene.com.tr/
köfte,Meşhur Adıyaman Çiğköftecisi Ömer Aybak Hamitler Şubesi,"Hamitler, Nene Hatun Cd. 49/A, 16160 Osmangazi̇/Bursa, Türkiye",40.239937399999995,28.9962942,0.382,https://adiyamancigkoftecisi.com/tr/bayilerimiz.html
lokanta,BEDİR PİDE,"Bağlarbaşı, Bağlarbaşı Parkı, 16160 Osmangazi̇/Bursa, Türkiye",40.234849,28.993662899999997,0.407,Web Sitesi Yok
restoran,KASSAPP YAPRAK ET DÖNER,"Hamitler, Nene Hatun Cd. No 43, 16160 Osmangazi̇/Bursa, Türkiye",40.2402381,28.9960746,0.42,Web Sitesi Yok
lokanta,Dönerci Faruk Usta,"Hamitler, Nene Hatun Cd. no:33, 16175 Osmangazi̇/Bursa, Türkiye",40.2407635,28.995751300000002,0.484,Web Sitesi Yok
fast food,Balkan Tost,"Hamitler, Nene Hatun Cd. 18a, 16170 Osmangazi̇/Bursa, Türkiye",40.241535999999996,28.995174400000003,0.582,Web Sitesi Yok
lokanta,Köşem Döner,"Bağlarbaşı, Mümin Gençoğlu Cd. No:82 D:c, 16160 Osmangazi̇/Bursa, Türkiye",40.2367949,28.9907152,0.601,Web Sitesi Yok
lokanta,Dürümgah Bağlarbaşı,"Bağlarbaşı, 1. Okul Cd. No:43/47, 16160 Osmangazi̇/Bursa, Türkiye",40.236905199999995,28.990613399999994,0.61,http://www.durumgah.com.tr/
döner,Dünya Döner,"Bağlarbaşı, 1. Okul Cd. No:57, 16160 Osmangazi̇/Bursa, Türkiye",40.2370768,28.990311100000003,0.637,Web Sitesi Yok
lokanta,Hasan Usta Lokantası,"4, Bağlarbaşı, 2. Yasemin Sk., 16160 Osmangazi̇/Bursa, Türkiye",40.2366047,28.9900816,0.655,Web Sitesi Yok
lokanta,Yılmaz Büfe,"Hamitler, Nene Hatun Cd. No:8, 16160 Osmangazi̇/Bursa, Türkiye",40.2422675,28.994967499999994,0.664,Web Sitesi Yok
lokanta,Lezzet Ev Yemekleri,"Bağlarbaşı, 3. Sümbül Sk. No:46, 16160, 16160 Osmangazi̇/Bursa, Türkiye",40.237472800000006,28.9897821,0.686,Web Sitesi Yok
lokanta,Özden Döner,"Bağlarbaşı, Mümin Gençoğlu Cd. No:52 D:B, 16160 Osmangazi̇/Bursa, Türkiye",40.2353039,28.9897197,0.703,Web Sitesi Yok
döner,Roka Döner,"Hamitler, Akdoğan Cd. 9A, 16000 Osmangazi̇/Bursa, Türkiye",40.2429479,28.996080700000004,0.71,Web Sitesi Yok
fast food,Dursunbeyli İremcan Fast Food,"Hamitler, Hacıbektaş Cd. No:10, 16160 Osmangazi̇/Bursa, Türkiye",40.2432535,28.995510699999993,0.754,Web Sitesi Yok
köfte,Oses Çiğ Köfte,"Hamitler, Hacıbektaş Cd. No: 14/B, 16160 Osmangazi̇/Bursa, Türkiye",40.2435346,28.995511699999998,0.784,http://www.oses.com.tr/
restoran,Den Kitchen / Den Mutfak,"Bağlarbaşı, 3. Çınar Sk. No:21, 16160 Osmangazi̇/Bursa, Türkiye",40.232504,28.99006,0.806,https://www.instagram.com/_denkitchen/
döner,Doyum Döner,"Bağlarbaşı, Mümin Gençoğlu Cd. No:30, 16160 Osmangazi̇/Bursa, Türkiye",40.233923,28.988836999999997,0.821,Web Sitesi Yok
döner,Eylül Döner,"Hamitler, Hacıbektaş Cd. No:27 D:21, 16160 Osmangazi̇/Bursa, Türkiye",40.243958,28.9954984,0.83,Web Sitesi Yok
döner,Eren Döner,"Hamitler, Hamidiye Cd. No:83, 16160 Osmangazi̇/Bursa, Türkiye",40.242745899999996,28.991764,0.845,Web Sitesi Yok
döner,Ziyafet Döner,"Bağlarbaşı, 1. Vatan Cd. No:40 D:C, 16160 Osmangazi̇/Bursa, Türkiye",40.23599840000001,28.987840999999996,0.849,Web Sitesi Yok
döner,Durum Döner,"Bağlarbaşı, 1. Vatan Cd. 41 C, 16160 Osmangazi̇/Bursa, Türkiye",40.2364499,28.987612499999997,0.865,Web Sitesi Yok
kebap,Arzum Cağ Kebap Salonu,"Bağlarbaşı, 1. Elmalı Sk. 3a, 16160 Osmangazi̇/Bursa, Türkiye",40.2347373,28.987716400000004,0.883,Web Sitesi Yok
döner,Faik Usta Cağ Döner,"Bağlarbaşı, 1. Vatan Cd. No: 72, 16160 Osmangazi̇/Bursa, Türkiye",40.238822,28.987451999999998,0.91,Web Sitesi Yok
kebap,Has Kebap & Döner,"Bağlarbaşı, 1. Hürriyet Cd. No:140/A, 16160 Osmangazi̇/Bursa, Türkiye",40.2316529,28.989296699999997,0.914,https://haskebap.web.tr/
